Image Path,Extracted Text
C:\Users\archi\Downloads\processed_images\processed_images\61hZbh+emjL.jpg,null
C:\Users\archi\Downloads\processed_images\processed_images\81CAc3ok29L.jpg,100W
C:\Users\archi\Downloads\processed_images\processed_images\61KwHa3FKyL.jpg,15KG
C:\Users\archi\Downloads\processed_images\processed_images\51NIEOGNLSS.jpg,15cm
C:\Users\archi\Downloads\processed_images\processed_images\31BxJwgiqpL.jpg,null
C:\Users\archi\Downloads\text_extraction\sample_images\51uNYDqlabL._SX679_.jpg,null
C:\Users\archi\Downloads\processed_images\processed_images\71HAOlrb5hL.jpg,null
C:\Users\archi\Downloads\processed_images\processed_images\81KU2fmBFAL.jpg,null
C:\Users\archi\Downloads\processed_images\processed_images\81OVQYeGk-L.jpg,null
C:\Users\archi\Downloads\processed_images\processed_images\81plu4BVaGL.jpg,null
C:\Users\archi\Downloads\processed_images\processed_images\81s78bRRzjL.jpg,18cm
